               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,           0.0099853,           0.0070348,                   0,             0.97099,             0.91364,             0.97741,             0.86937,           0.0038683,           0.0033409,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.010571,           0.0070956,                   0,             0.91657,                 0.9,             0.94364,             0.83684,            0.003782,           0.0039418,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.010406,           0.0070086,                   0,             0.96012,             0.89091,             0.95275,             0.84655,           0.0039579,           0.0036231,                   0,            0.008713,            0.008713,            0.008713
                  41,           0.0099928,           0.0070725,                   0,             0.93488,             0.91364,             0.94675,              0.8461,           0.0035604,            0.003115,                   0,             0.00868,             0.00868,             0.00868
                  42,           0.0095967,           0.0068639,                   0,             0.95998,             0.87273,             0.95144,             0.83686,            0.004259,           0.0039722,                   0,            0.008647,            0.008647,            0.008647
                  43,           0.0089099,           0.0068286,                   0,               0.921,             0.95455,              0.9723,             0.86185,           0.0039341,           0.0032769,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.010371,           0.0068289,                   0,              0.9799,             0.88635,             0.94295,             0.84638,           0.0036993,           0.0045631,                   0,            0.008581,            0.008581,            0.008581
                  45,           0.0095326,            0.006907,                   0,             0.95182,                 0.9,             0.95626,             0.85375,           0.0037702,           0.0042419,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.009484,           0.0067994,                   0,              0.9619,             0.91799,             0.94586,             0.84885,            0.003595,           0.0038402,                   0,            0.008515,            0.008515,            0.008515
                  47,           0.0093705,           0.0068228,                   0,              0.9398,             0.92273,             0.95812,             0.84779,           0.0036491,            0.003694,                   0,            0.008482,            0.008482,            0.008482
                  48,           0.0091208,           0.0067801,                   0,             0.93835,                 0.9,             0.95963,             0.85396,           0.0037146,           0.0036717,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.009848,           0.0068309,                   0,             0.95771,             0.92727,             0.96883,             0.84197,            0.003955,           0.0035842,                   0,            0.008416,            0.008416,            0.008416
                  50,           0.0097357,           0.0066637,                   0,             0.94222,             0.89091,             0.96337,             0.86473,           0.0034315,           0.0036502,                   0,            0.008383,            0.008383,            0.008383
                  51,           0.0090148,            0.006756,                   0,             0.99512,             0.92712,             0.95328,             0.86272,           0.0035364,           0.0036775,                   0,             0.00835,             0.00835,             0.00835
                  52,           0.0093907,           0.0066251,                   0,              0.9732,             0.91818,             0.96696,             0.88064,           0.0037055,           0.0038306,                   0,            0.008317,            0.008317,            0.008317
                  53,           0.0091244,           0.0066746,                   0,             0.98029,             0.90436,             0.95289,             0.83197,           0.0044425,           0.0038851,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.009173,           0.0065285,                   0,             0.97979,             0.88182,             0.95665,             0.84271,           0.0041577,           0.0036734,                   0,            0.008251,            0.008251,            0.008251
                  55,           0.0094486,           0.0066085,                   0,             0.94009,             0.92722,             0.97566,             0.85553,           0.0041154,           0.0036928,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.009421,           0.0065718,                   0,             0.94391,             0.91818,             0.97672,             0.88283,            0.003474,           0.0032515,                   0,            0.008185,            0.008185,            0.008185
                  57,           0.0091645,           0.0065944,                   0,             0.97605,             0.92727,              0.9689,             0.89292,           0.0031336,           0.0032323,                   0,            0.008152,            0.008152,            0.008152
                  58,           0.0097688,           0.0064794,                   0,             0.97087,             0.90885,             0.97761,             0.86589,           0.0038496,           0.0032146,                   0,            0.008119,            0.008119,            0.008119
                  59,           0.0091629,           0.0065566,                   0,             0.93518,             0.91804,             0.96799,             0.86697,           0.0038318,           0.0032622,                   0,            0.008086,            0.008086,            0.008086
                  60,           0.0090244,            0.006395,                   0,             0.93136,             0.92727,             0.95606,             0.86429,           0.0033369,           0.0037688,                   0,            0.008053,            0.008053,            0.008053
                  61,           0.0090618,           0.0064542,                   0,             0.97608,             0.92727,             0.97144,             0.86574,           0.0037661,              0.0033,                   0,             0.00802,             0.00802,             0.00802
                  62,           0.0099952,           0.0065329,                   0,             0.92372,             0.93636,             0.96405,             0.84599,           0.0038751,           0.0032601,                   0,            0.007987,            0.007987,            0.007987
                  63,           0.0089576,           0.0065275,                   0,             0.97884,             0.84087,             0.94873,             0.85596,           0.0037289,           0.0041176,                   0,            0.007954,            0.007954,            0.007954
                  64,           0.0088764,           0.0064474,                   0,             0.97181,             0.94091,             0.98535,             0.89556,           0.0033386,           0.0024702,                   0,            0.007921,            0.007921,            0.007921
                  65,           0.0090235,            0.006472,                   0,             0.91818,              0.9181,             0.96098,             0.85509,           0.0036876,           0.0032176,                   0,            0.007888,            0.007888,            0.007888
                  66,           0.0088968,           0.0063618,                   0,             0.93967,                0.85,             0.94882,             0.86413,           0.0031768,           0.0030805,                   0,            0.007855,            0.007855,            0.007855
                  67,           0.0082955,           0.0063144,                   0,             0.98469,             0.87721,              0.9774,             0.87108,           0.0040093,            0.003661,                   0,            0.007822,            0.007822,            0.007822
                  68,           0.0086183,           0.0062752,                   0,             0.90342,             0.93636,             0.96004,             0.85687,           0.0036077,           0.0034661,                   0,            0.007789,            0.007789,            0.007789
                  69,           0.0093905,           0.0063649,                   0,             0.94173,             0.88182,             0.95289,             0.85938,           0.0034892,           0.0036554,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.008397,             0.00628,                   0,             0.94009,              0.9272,             0.97367,               0.873,           0.0034713,           0.0028682,                   0,            0.007723,            0.007723,            0.007723
                  71,           0.0086326,           0.0063383,                   0,             0.94383,             0.91818,             0.97324,             0.88615,           0.0032181,           0.0028489,                   0,             0.00769,             0.00769,             0.00769
                  72,           0.0082794,           0.0061866,                   0,             0.98019,             0.89958,             0.96648,             0.87932,           0.0034299,           0.0036032,                   0,            0.007657,            0.007657,            0.007657
                  73,           0.0087334,           0.0062299,                   0,             0.99999,             0.85455,             0.96693,             0.87611,           0.0034027,           0.0030194,                   0,            0.007624,            0.007624,            0.007624
                  74,           0.0088587,            0.006203,                   0,             0.93434,             0.84086,             0.89831,             0.80369,           0.0036327,           0.0042927,                   0,            0.007591,            0.007591,            0.007591
                  75,           0.0082557,           0.0061858,                   0,             0.89682,                0.95,             0.97128,             0.88205,           0.0030356,           0.0030357,                   0,            0.007558,            0.007558,            0.007558
                  76,           0.0083526,           0.0060782,                   0,             0.94634,             0.88178,             0.94873,             0.85306,           0.0035629,           0.0039063,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.008797,           0.0062118,                   0,             0.96991,             0.88182,             0.96807,             0.89089,           0.0031743,            0.003023,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.009027,           0.0062246,                   0,             0.90747,             0.93636,             0.96792,             0.87073,           0.0032686,           0.0032867,                   0,            0.007459,            0.007459,            0.007459
                  79,           0.0085351,           0.0062705,                   0,              0.9315,             0.92723,             0.95345,             0.85897,           0.0034178,           0.0030101,                   0,            0.007426,            0.007426,            0.007426
                  80,           0.0095807,           0.0061843,                   0,             0.94444,             0.92712,             0.96502,             0.86919,           0.0034291,           0.0035201,                   0,            0.007393,            0.007393,            0.007393
                  81,           0.0094363,           0.0061566,                   0,             0.95972,             0.86818,             0.95142,             0.85339,           0.0032484,            0.003294,                   0,             0.00736,             0.00736,             0.00736
