               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.03392,            0.020647,                   0,             0.93369,             0.90323,             0.93321,              0.5328,            0.023542,              0.0153,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.033817,             0.02077,                   0,             0.94186,             0.89674,             0.93726,             0.52803,            0.023913,            0.015355,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.033792,            0.019429,                   0,             0.94531,             0.87796,               0.938,             0.53122,            0.023823,            0.015293,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.033454,            0.019884,                   0,             0.93617,             0.90361,             0.93396,             0.52787,            0.023989,            0.015586,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.033468,             0.02004,                   0,             0.94085,             0.89607,             0.93662,             0.53729,            0.023401,            0.015263,                   0,            0.005842,            0.005842,            0.005842
                  44,              0.0332,            0.018813,                   0,             0.94286,             0.89303,             0.93809,              0.5352,            0.023459,            0.015231,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.032951,             0.01949,                   0,             0.95197,             0.89743,             0.94636,             0.54236,            0.023238,            0.015031,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.033255,            0.019186,                   0,             0.94286,             0.90101,             0.94111,             0.54382,            0.023529,            0.015098,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.033208,            0.019536,                   0,             0.94198,             0.90405,             0.94412,             0.54557,            0.023451,            0.015009,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.033051,            0.020073,                   0,              0.9466,             0.90768,             0.93954,             0.54104,            0.023597,            0.015094,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.033241,            0.019961,                   0,             0.95346,             0.90801,             0.94493,              0.5483,            0.023129,             0.01497,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.032615,            0.019458,                   0,             0.95947,             0.88929,             0.94473,             0.55075,            0.022785,             0.01501,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.032228,            0.019967,                   0,             0.95074,             0.90495,             0.94569,             0.54965,            0.022926,            0.014794,                   0,             0.00505,             0.00505,             0.00505
                  52,             0.03228,            0.018777,                   0,             0.94364,             0.90508,             0.93945,             0.55071,            0.023021,            0.014851,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.032003,            0.020077,                   0,             0.95644,             0.90541,             0.95103,             0.55821,            0.022797,            0.014743,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.031801,            0.019354,                   0,             0.95531,              0.9084,             0.94664,             0.55149,            0.022934,            0.014766,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.031974,            0.019052,                   0,             0.95316,             0.90361,             0.94211,             0.55406,            0.023019,            0.014733,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.032066,            0.019165,                   0,             0.95094,             0.90884,             0.94682,             0.55811,            0.022674,            0.014786,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.031723,            0.018663,                   0,             0.95618,             0.90557,             0.94903,             0.56033,            0.022468,            0.014691,                   0,            0.004456,            0.004456,            0.004456
