               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10694,            0.030311,                   0,             0.45868,             0.12618,             0.11672,            0.051696,            0.077449,            0.024387,                   0,              0.0704,           0.0032889,           0.0032889
                   1,            0.079925,            0.029458,                   0,              0.4542,             0.32139,             0.32312,            0.099607,            0.059507,            0.020437,                   0,            0.040269,           0.0064911,           0.0064911
                   2,            0.067751,            0.023918,                   0,             0.43828,              0.3857,             0.33718,            0.099227,            0.053508,            0.017651,                   0,            0.010006,           0.0095613,           0.0095613
                   3,            0.060519,             0.02352,                   0,             0.64539,             0.51204,             0.60332,             0.26725,            0.042793,            0.018096,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.052217,            0.022154,                   0,             0.61546,             0.65891,              0.6803,             0.26882,            0.037714,            0.016055,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.048862,            0.020699,                   0,             0.59613,             0.62748,              0.6276,             0.23094,            0.038114,            0.015792,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.046408,            0.020211,                   0,             0.72909,             0.72254,             0.78593,             0.35431,            0.034762,            0.014654,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.044497,            0.020473,                   0,             0.74015,             0.75187,             0.78963,             0.35165,            0.033363,            0.014524,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.043501,            0.020111,                   0,             0.74494,             0.80332,             0.82683,             0.38794,            0.032143,            0.014149,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.041697,            0.019846,                   0,             0.73541,             0.79372,             0.80052,             0.38569,            0.032535,            0.014444,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.040914,            0.018981,                   0,             0.77781,             0.81635,             0.83142,              0.3832,            0.031027,            0.014278,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.039413,            0.019445,                   0,             0.80744,             0.81309,             0.84972,             0.39324,            0.032838,            0.013909,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.038458,            0.018618,                   0,             0.82528,               0.819,             0.85642,             0.41287,            0.029852,             0.01375,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.038368,             0.01878,                   0,             0.84242,             0.82429,             0.86082,              0.4319,            0.029246,            0.013464,                   0,            0.007624,            0.007624,            0.007624
                  14,             0.03776,             0.01843,                   0,             0.84085,             0.82924,             0.86604,             0.43331,             0.02904,            0.013404,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.037654,              0.0194,                   0,             0.86167,             0.81339,             0.85545,             0.42734,             0.02933,            0.013303,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.036279,            0.018045,                   0,             0.81757,              0.8424,             0.85947,             0.42986,            0.028876,            0.013394,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.036194,            0.018337,                   0,             0.80765,             0.84359,              0.8721,             0.44408,            0.027931,            0.013198,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.036019,            0.017791,                   0,             0.86512,             0.83024,             0.87003,             0.44508,            0.027981,            0.013332,                   0,            0.006634,            0.006634,            0.006634
