               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,           0.0093782,           0.0068158,                   0,             0.96509,              0.8796,             0.94724,             0.80929,           0.0047537,           0.0048124,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.009235,           0.0067054,                   0,             0.99976,             0.92727,             0.97181,             0.85992,           0.0039558,           0.0045106,                   0,            0.006238,            0.006238,            0.006238
                  40,           0.0099704,           0.0066735,                   0,             0.99862,             0.88182,             0.97043,             0.86025,             0.00387,           0.0039629,                   0,            0.006139,            0.006139,            0.006139
                  41,           0.0093034,            0.006568,                   0,             0.91628,             0.94517,             0.97221,             0.85303,           0.0041285,           0.0037112,                   0,             0.00604,             0.00604,             0.00604
                  42,           0.0090209,           0.0066226,                   0,             0.97033,             0.93636,             0.98608,             0.88191,           0.0034941,           0.0032321,                   0,            0.005941,            0.005941,            0.005941
                  43,           0.0088045,           0.0063957,                   0,             0.99651,             0.93636,             0.98125,             0.85905,           0.0039921,           0.0034751,                   0,            0.005842,            0.005842,            0.005842
                  44,           0.0083777,           0.0064503,                   0,                   1,             0.90817,             0.96508,              0.8669,           0.0036182,           0.0037371,                   0,            0.005743,            0.005743,            0.005743
                  45,           0.0090647,           0.0064854,                   0,             0.94332,             0.93636,             0.97671,             0.87675,           0.0034438,           0.0031261,                   0,            0.005644,            0.005644,            0.005644
                  46,           0.0089489,           0.0063778,                   0,             0.98056,             0.91731,             0.98001,             0.86529,           0.0038188,           0.0038115,                   0,            0.005545,            0.005545,            0.005545
                  47,           0.0091362,           0.0064283,                   0,             0.99375,             0.93636,             0.98222,             0.89324,            0.003433,           0.0034315,                   0,            0.005446,            0.005446,            0.005446
                  48,           0.0092746,           0.0063746,                   0,             0.99888,             0.92273,             0.96342,             0.86095,           0.0040014,           0.0039711,                   0,            0.005347,            0.005347,            0.005347
                  49,           0.0083444,           0.0061434,                   0,                   1,             0.92133,             0.97927,             0.86726,           0.0035625,           0.0034166,                   0,            0.005248,            0.005248,            0.005248
                  50,           0.0091509,           0.0063382,                   0,             0.97596,             0.94545,             0.97501,               0.879,           0.0038699,           0.0040455,                   0,            0.005149,            0.005149,            0.005149
                  51,           0.0082672,            0.006308,                   0,             0.93573,             0.92646,             0.95095,             0.85338,           0.0037974,           0.0038678,                   0,             0.00505,             0.00505,             0.00505
                  52,           0.0081704,           0.0060515,                   0,             0.94154,             0.91818,             0.94774,             0.85289,           0.0035917,           0.0039877,                   0,            0.004951,            0.004951,            0.004951
                  53,           0.0085686,           0.0061172,                   0,             0.99019,              0.9178,             0.98588,             0.86427,            0.003895,           0.0039009,                   0,            0.004852,            0.004852,            0.004852
                  54,           0.0082278,           0.0063016,                   0,             0.99426,             0.89091,             0.94042,             0.85051,           0.0037099,           0.0046088,                   0,            0.004753,            0.004753,            0.004753
                  55,           0.0086595,           0.0061374,                   0,                   1,             0.88116,             0.96818,             0.87115,           0.0033969,           0.0038933,                   0,            0.004654,            0.004654,            0.004654
                  56,           0.0085952,           0.0061554,                   0,             0.97048,             0.90909,             0.95609,             0.86404,           0.0035489,           0.0043394,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.007768,           0.0060623,                   0,             0.99046,             0.94358,             0.98438,             0.88331,           0.0035313,           0.0035371,                   0,            0.004456,            0.004456,            0.004456
                  58,           0.0077523,           0.0061032,                   0,             0.99511,             0.92486,             0.96884,             0.86721,           0.0034751,           0.0035947,                   0,            0.004357,            0.004357,            0.004357
                  59,           0.0078446,           0.0058669,                   0,             0.97984,             0.92727,             0.97716,             0.85309,            0.004176,           0.0037028,                   0,            0.004258,            0.004258,            0.004258
                  60,           0.0081265,           0.0059023,                   0,             0.92649,             0.91818,             0.95192,             0.86069,            0.003437,           0.0036306,                   0,            0.004159,            0.004159,            0.004159
                  61,           0.0081399,           0.0059452,                   0,             0.99692,             0.88182,             0.95519,             0.86707,           0.0036832,            0.004344,                   0,             0.00406,             0.00406,             0.00406
                  62,           0.0080963,           0.0058434,                   0,             0.97018,             0.95455,             0.98413,             0.87451,           0.0036625,            0.003653,                   0,            0.003961,            0.003961,            0.003961
                  63,           0.0077656,           0.0058528,                   0,                   1,             0.91953,             0.97801,             0.87095,           0.0036405,           0.0041981,                   0,            0.003862,            0.003862,            0.003862
                  64,           0.0073393,           0.0059042,                   0,             0.98076,             0.92693,             0.98089,             0.86891,           0.0036686,           0.0038227,                   0,            0.003763,            0.003763,            0.003763
                  65,           0.0080392,           0.0059024,                   0,             0.96575,             0.92727,             0.97764,             0.87076,           0.0034505,           0.0034496,                   0,            0.003664,            0.003664,            0.003664
                  66,           0.0076337,           0.0058434,                   0,             0.99872,             0.91364,             0.98052,             0.86403,            0.003775,           0.0036706,                   0,            0.003565,            0.003565,            0.003565
                  67,           0.0072375,           0.0058052,                   0,             0.92865,             0.95455,             0.98349,             0.87674,           0.0035143,           0.0035869,                   0,            0.003466,            0.003466,            0.003466
                  68,           0.0075511,           0.0056856,                   0,             0.99689,             0.92273,             0.98145,             0.88639,           0.0035286,           0.0035091,                   0,            0.003367,            0.003367,            0.003367
                  69,           0.0070201,           0.0056969,                   0,             0.99746,                 0.9,             0.97658,             0.87988,           0.0034821,           0.0041157,                   0,            0.003268,            0.003268,            0.003268
